entry_time,exit_time,regime,pnl,hours,safety_orders,capital
2026-05-15T16:00:00Z,2026-05-20T12:00:00Z,Low,54.80313135999961,120,6,2385.3375999999994
2026-05-23T08:00:00Z,2026-05-23T12:00:00Z,Low,2.2975,8,0,100.0
2026-05-28T04:00:00Z,2026-05-28T16:00:00Z,Low,5.513999999999972,16,1,240.0
2026-05-29T04:00:00Z,2026-05-29T16:00:00Z,Low,16.32143999999988,16,3,710.3999999999999
2026-05-29T20:00:00Z,2026-05-30T08:00:00Z,Low,5.513999999999999,16,1,240.0
2026-05-30T12:00:00Z,2026-05-31T00:00:00Z,Low,2.2974999999999857,16,0,100.0
2026-06-01T08:00:00Z,2026-06-01T16:00:00Z,Low,5.513999999999972,12,1,240.0
2026-06-02T16:00:00Z,2026-06-03T04:00:00Z,Low,37.50402239999982,16,5,1632.3839999999996
2026-06-03T08:00:00Z,2026-06-13T04:00:00Z,Low,79.02188390399964,240,7,3439.472639999999
2026-06-16T04:00:00Z,2026-06-16T04:00:00Z,Medium,2.2974999999999857,4,0,100.0
2026-06-16T12:00:00Z,2026-06-17T00:00:00Z,Medium,5.9735000000000005,16,1,260.0
2026-06-17T08:00:00Z,2026-07-02T12:00:00Z,Medium,36.322555999999665,368,4,1580.9600000000003
