entry_time,exit_time,regime,pnl,hours,safety_orders,capital
2025-04-19T16:00:00Z,2025-04-19T16:00:00Z,High-Bear,1.2985,4,0,100.0
2025-04-19T20:00:00Z,2025-04-20T04:00:00Z,High-Bear,7.842939999999946,12,2,604.0
2025-04-20T08:00:00Z,2025-04-20T12:00:00Z,High-Bear,3.635799999999988,8,1,280.0
2025-04-20T16:00:00Z,2025-04-20T20:00:00Z,High-Bear,3.635799999999988,8,1,280.0
2025-04-21T00:00:00Z,2025-04-21T04:00:00Z,High-Bear,3.635799999999988,8,1,280.0
2025-04-21T08:00:00Z,2025-04-21T12:00:00Z,High-Bear,3.635799999999988,8,1,280.0
2025-04-21T16:00:00Z,2025-04-21T20:00:00Z,High-Bear,29.046925599999987,8,4,2236.96
2025-04-22T00:00:00Z,2025-04-22T00:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-04-26T00:00:00Z,2025-05-01T08:00:00Z,High-Bull,88.37640529408031,132,8,4915.261695999998
2025-05-01T12:00:00Z,2025-05-01T16:00:00Z,Medium,1.2985,8,0,100.0
2025-05-01T20:00:00Z,2025-05-08T00:00:00Z,Medium,5.6614599999999635,152,2,436.0
2025-05-08T04:00:00Z,2025-05-08T04:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-05-08T08:00:00Z,2025-05-08T16:00:00Z,Medium,3.116399999999966,12,1,240.0
2025-05-08T20:00:00Z,2025-05-08T20:00:00Z,High-Bull,1.7979999999999998,4,0,100.0
2025-05-09T00:00:00Z,2025-05-09T00:00:00Z,High-Bull,1.7979999999999998,4,0,100.0
2025-05-09T12:00:00Z,2025-05-10T08:00:00Z,High-Bull,7.839280000000027,24,2,436.0
2025-05-10T16:00:00Z,2025-05-10T20:00:00Z,High-Bull,7.839280000000027,8,2,436.0
2025-05-11T00:00:00Z,2025-05-11T08:00:00Z,High-Bull,61.841718067200155,12,7,3439.472639999999
2025-05-11T12:00:00Z,2025-05-12T08:00:00Z,High-Bull,12.772992000000084,24,3,710.3999999999999
2025-05-12T12:00:00Z,2025-05-12T12:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-05-12T16:00:00Z,2025-05-12T16:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-05-12T20:00:00Z,2025-05-12T20:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-05-13T00:00:00Z,2025-05-13T12:00:00Z,Medium,3.1163999999999374,16,1,240.0
2025-05-13T16:00:00Z,2025-05-13T16:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-05-13T20:00:00Z,2025-05-14T16:00:00Z,High-Bull,88.3764052940794,24,8,4915.261695999998
2025-05-14T20:00:00Z,2025-05-15T12:00:00Z,High-Bear,29.046925599999987,20,4,2236.96
2025-05-15T16:00:00Z,2025-05-16T04:00:00Z,High-Bear,7.842939999999833,16,2,604.0
2025-05-16T08:00:00Z,2025-05-16T12:00:00Z,High-Bear,15.415791999999993,8,3,1187.2
2025-05-16T16:00:00Z,2025-05-18T12:00:00Z,Medium,3.1163999999999943,48,1,240.0
2025-05-18T16:00:00Z,2025-05-19T16:00:00Z,Medium,5.66146000000002,28,2,436.0
2025-05-19T20:00:00Z,2025-05-20T04:00:00Z,High-Bear,3.635799999999988,12,1,280.0
2025-05-20T08:00:00Z,2025-05-20T12:00:00Z,High-Bear,7.842939999999946,8,2,604.0
2025-05-20T16:00:00Z,2025-05-20T20:00:00Z,High-Bear,3.6357999999999318,8,1,280.0
2025-05-21T00:00:00Z,2025-05-21T04:00:00Z,High-Bear,3.635799999999988,8,1,280.0
2025-05-21T08:00:00Z,2025-05-21T20:00:00Z,High-Bear,29.046925599999533,16,4,2236.96
2025-05-22T00:00:00Z,2025-05-22T00:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-05-22T04:00:00Z,2025-05-22T04:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-05-22T08:00:00Z,2025-05-22T08:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-05-22T12:00:00Z,2025-05-22T16:00:00Z,Medium,1.2985,8,0,100.0
2025-05-22T20:00:00Z,2025-05-22T20:00:00Z,Medium,1.2985,4,0,100.0
2025-05-23T00:00:00Z,2025-05-23T00:00:00Z,Medium,1.2985,4,0,100.0
2025-05-23T04:00:00Z,2025-06-03T12:00:00Z,Medium,14.212861599999794,276,4,1094.5599999999997
2025-06-03T16:00:00Z,2025-06-04T04:00:00Z,Low,20.528765599999613,16,4,1580.9600000000003
2025-06-04T08:00:00Z,2025-06-04T16:00:00Z,Low,3.3760999999999206,12,1,260.0
2025-06-04T20:00:00Z,2025-06-06T12:00:00Z,Low,55.92973993599981,44,6,4307.257600000001
2025-06-06T16:00:00Z,2025-06-09T08:00:00Z,Medium,3.116399999999966,68,1,240.0
2025-06-09T12:00:00Z,2025-06-09T20:00:00Z,Low,6.700259999999895,12,2,516.0
2025-06-10T00:00:00Z,2025-06-10T12:00:00Z,Low,6.700259999999895,16,2,516.0
2025-06-10T16:00:00Z,2025-06-10T16:00:00Z,Low,1.2984999999999858,4,0,100.0
2025-06-10T20:00:00Z,2025-06-10T20:00:00Z,Low,1.2984999999999858,4,0,100.0
2025-06-11T00:00:00Z,2025-06-11T00:00:00Z,Low,1.2984999999999858,4,0,100.0
2025-06-11T04:00:00Z,2025-06-11T04:00:00Z,Low,1.2984999999999858,4,0,100.0
2025-06-11T08:00:00Z,2025-06-11T12:00:00Z,Low,3.3760999999999775,8,1,260.0
2025-06-11T16:00:00Z,2025-06-12T00:00:00Z,Low,12.018916000000015,12,3,925.6000000000001
2025-06-12T04:00:00Z,2025-06-12T12:00:00Z,Low,6.700260000000009,12,2,516.0
2025-06-12T16:00:00Z,2025-06-12T16:00:00Z,Low,1.2985,4,0,100.0
2025-06-12T20:00:00Z,2025-06-15T12:00:00Z,Low,55.9297399359989,68,6,4307.257600000001
2025-06-15T16:00:00Z,2025-06-16T00:00:00Z,Low,34.144524960000105,12,5,2629.5360000000005
2025-06-16T04:00:00Z,2025-06-16T04:00:00Z,Low,1.2984999999999858,4,0,100.0
2025-06-16T08:00:00Z,2025-06-16T08:00:00Z,Low,1.2984999999999858,4,0,100.0
2025-06-16T12:00:00Z,2025-06-16T20:00:00Z,Low,3.3760999999999775,12,1,260.0
2025-06-17T00:00:00Z,2025-06-17T04:00:00Z,Low,55.92973993599981,8,6,4307.257600000001
2025-06-17T08:00:00Z,2025-06-17T20:00:00Z,Low,34.14452495999965,16,5,2629.5360000000005
2025-06-18T00:00:00Z,2025-06-18T00:00:00Z,Medium,1.2985,4,0,100.0
2025-06-18T04:00:00Z,2025-06-19T00:00:00Z,Medium,3.116399999999966,24,1,240.0
2025-06-19T04:00:00Z,2025-06-20T08:00:00Z,Medium,1.2984999999999716,32,0,100.0
2025-06-20T12:00:00Z,2025-06-22T16:00:00Z,Medium,9.22454399999995,56,3,710.3999999999999
2025-06-22T20:00:00Z,2025-06-23T00:00:00Z,High-Bear,15.415791999999993,8,3,1187.2
2025-06-23T04:00:00Z,2025-06-23T04:00:00Z,High-Bear,1.2985,4,0,100.0
2025-06-23T08:00:00Z,2025-06-23T12:00:00Z,High-Bear,7.842939999999946,8,2,604.0
2025-06-23T16:00:00Z,2025-06-23T16:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-06-23T20:00:00Z,2025-06-23T20:00:00Z,High-Bear,1.2985,4,0,100.0
2025-06-24T00:00:00Z,2025-06-24T04:00:00Z,High-Bear,7.842939999999833,8,2,604.0
2025-06-24T08:00:00Z,2025-06-24T12:00:00Z,High-Bear,3.6357999999999318,8,1,280.0
2025-06-24T16:00:00Z,2025-06-24T16:00:00Z,High-Bear,1.2985,4,0,100.0
2025-06-24T20:00:00Z,2025-06-25T12:00:00Z,High-Bear,53.58296608000034,20,5,4126.528
2025-06-25T16:00:00Z,2025-06-25T16:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-06-25T20:00:00Z,2025-06-26T08:00:00Z,High-Bear,7.842939999999946,16,2,604.0
2025-06-26T12:00:00Z,2025-06-27T12:00:00Z,High-Bear,29.046925599999987,28,4,2236.96
2025-06-27T16:00:00Z,2025-06-28T00:00:00Z,High-Bear,3.635799999999988,12,1,280.0
2025-06-28T04:00:00Z,2025-06-28T16:00:00Z,High-Bear,3.635799999999988,16,1,280.0
2025-06-28T20:00:00Z,2025-06-29T08:00:00Z,High-Bear,3.6357999999999318,16,1,280.0
2025-06-29T12:00:00Z,2025-06-29T12:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-06-29T16:00:00Z,2025-06-30T00:00:00Z,High-Bear,3.635799999999988,12,1,280.0
2025-06-30T04:00:00Z,2025-06-30T04:00:00Z,High-Bear,1.2985,4,0,100.0
2025-06-30T08:00:00Z,2025-06-30T12:00:00Z,High-Bear,7.842939999999946,8,2,604.0
2025-06-30T16:00:00Z,2025-06-30T16:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-06-30T20:00:00Z,2025-06-30T20:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-07-01T00:00:00Z,2025-07-02T04:00:00Z,High-Bear,53.58296607999943,32,5,4126.528
2025-07-02T08:00:00Z,2025-07-02T12:00:00Z,High-Bear,7.842939999999946,8,2,604.0
2025-07-02T16:00:00Z,2025-07-02T16:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-07-02T20:00:00Z,2025-07-03T08:00:00Z,High-Bear,7.842939999999946,16,2,604.0
2025-07-03T12:00:00Z,2025-07-04T00:00:00Z,High-Bear,7.842939999999946,16,2,604.0
2025-07-04T04:00:00Z,2025-07-05T12:00:00Z,High-Bear,15.415791999999993,36,3,1187.2
2025-07-05T16:00:00Z,2025-07-06T08:00:00Z,High-Bear,3.635799999999988,20,1,280.0
2025-07-06T12:00:00Z,2025-07-06T12:00:00Z,High-Bear,1.2985,4,0,100.0
2025-07-06T16:00:00Z,2025-07-06T20:00:00Z,High-Bear,3.635799999999988,8,1,280.0
2025-07-07T00:00:00Z,2025-07-08T16:00:00Z,High-Bear,29.046925599999987,44,4,2236.96
2025-07-08T20:00:00Z,2025-07-08T20:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-07-09T00:00:00Z,2025-07-09T16:00:00Z,Medium,1.2984999999999858,20,0,100.0
2025-07-09T20:00:00Z,2025-07-10T08:00:00Z,Medium,1.2984999999999858,16,0,100.0
2025-07-10T12:00:00Z,2025-07-10T16:00:00Z,Medium,1.2984999999999858,8,0,100.0
2025-07-10T20:00:00Z,2025-07-10T20:00:00Z,Medium,1.2984999999999716,4,0,100.0
2025-07-11T00:00:00Z,2025-07-11T00:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-07-11T04:00:00Z,2025-07-11T12:00:00Z,High-Bear,29.046925599999533,12,4,2236.96
2025-07-11T16:00:00Z,2025-07-11T20:00:00Z,High-Bear,3.6357999999999318,8,1,280.0
2025-07-12T00:00:00Z,2025-07-12T04:00:00Z,High-Bear,3.635799999999988,8,1,280.0
2025-07-12T08:00:00Z,2025-07-12T16:00:00Z,High-Bear,15.415791999999765,12,3,1187.2
2025-07-12T20:00:00Z,2025-07-12T20:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-07-13T00:00:00Z,2025-07-13T00:00:00Z,Medium,1.2984999999999716,4,0,100.0
2025-07-13T04:00:00Z,2025-07-13T04:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-07-13T08:00:00Z,2025-07-13T08:00:00Z,Medium,1.2985,4,0,100.0
2025-07-13T12:00:00Z,2025-07-13T12:00:00Z,Medium,1.2984999999999716,4,0,100.0
2025-07-13T16:00:00Z,2025-07-13T16:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-07-13T20:00:00Z,2025-07-13T20:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-07-14T00:00:00Z,2025-07-14T00:00:00Z,Low,1.2985,4,0,100.0
2025-07-23T20:00:00Z,2025-07-24T00:00:00Z,High-Bear,3.6357999999999318,8,1,280.0
2025-07-24T04:00:00Z,2025-07-24T08:00:00Z,High-Bear,7.842939999999946,8,2,604.0
2025-07-25T00:00:00Z,2025-07-25T04:00:00Z,High-Bear,15.415791999999993,8,3,1187.2
2025-07-25T08:00:00Z,2025-07-25T08:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-07-25T12:00:00Z,2025-07-26T00:00:00Z,High-Bear,53.58296607999943,16,5,4126.528
2025-07-26T04:00:00Z,2025-07-26T04:00:00Z,High-Bear,1.2985,4,0,100.0
2025-07-26T08:00:00Z,2025-07-27T16:00:00Z,High-Bear,7.842939999999946,36,2,604.0
2025-07-27T20:00:00Z,2025-07-27T20:00:00Z,High-Bear,1.2985,4,0,100.0
2025-07-28T04:00:00Z,2025-07-28T04:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-07-28T16:00:00Z,2025-07-29T08:00:00Z,High-Bear,29.046925599999533,20,4,2236.96
2025-07-29T12:00:00Z,2025-07-29T16:00:00Z,High-Bear,53.58296607999943,8,5,4126.528
2025-07-29T20:00:00Z,2025-07-30T00:00:00Z,High-Bear,7.842939999999946,8,2,604.0
2025-07-30T04:00:00Z,2025-07-30T04:00:00Z,High-Bear,1.2985,4,0,100.0
2025-07-30T08:00:00Z,2025-07-30T16:00:00Z,High-Bear,53.58296608000034,12,5,4126.528
2025-07-30T20:00:00Z,2025-07-30T20:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-07-31T00:00:00Z,2025-07-31T00:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-07-31T04:00:00Z,2025-07-31T08:00:00Z,High-Bear,3.635799999999988,8,1,280.0
2025-07-31T12:00:00Z,2025-07-31T16:00:00Z,High-Bear,7.842939999999946,8,2,604.0
2025-07-31T20:00:00Z,2025-08-01T12:00:00Z,High-Bear,53.58296607999943,20,5,4126.528
2025-08-01T16:00:00Z,2025-08-02T04:00:00Z,High-Bear,53.58296607999943,16,5,4126.528
2025-08-02T08:00:00Z,2025-08-02T08:00:00Z,High-Bear,1.2985,4,0,100.0
2025-08-02T12:00:00Z,2025-08-02T20:00:00Z,High-Bear,7.842939999999946,12,2,604.0
2025-08-03T00:00:00Z,2025-08-03T04:00:00Z,High-Bear,3.635799999999988,8,1,280.0
2025-08-03T08:00:00Z,2025-08-03T08:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-08-03T12:00:00Z,2025-08-04T00:00:00Z,High-Bear,7.84294000000006,16,2,604.0
2025-08-04T04:00:00Z,2025-08-04T12:00:00Z,High-Bear,7.842939999999946,12,2,604.0
2025-08-04T16:00:00Z,2025-08-05T08:00:00Z,High-Bear,29.046925599999533,20,4,2236.96
2025-08-05T12:00:00Z,2025-08-06T12:00:00Z,High-Bear,29.046925599999987,28,4,2236.96
2025-08-06T16:00:00Z,2025-08-06T16:00:00Z,High-Bear,1.2984999999999858,4,0,100.0
2025-08-06T20:00:00Z,2025-08-07T04:00:00Z,High-Bear,15.415791999999765,12,3,1187.2
2025-08-07T08:00:00Z,2025-08-07T08:00:00Z,Medium,1.2985,4,0,100.0
2025-08-07T12:00:00Z,2025-08-07T12:00:00Z,Medium,1.2985,4,0,100.0
2025-08-07T16:00:00Z,2025-08-07T20:00:00Z,Medium,1.2985,8,0,100.0
2025-08-08T00:00:00Z,2025-08-08T04:00:00Z,Medium,1.2984999999999858,8,0,100.0
2025-08-08T08:00:00Z,2025-08-08T20:00:00Z,Medium,1.2984999999999858,16,0,100.0
2025-08-09T00:00:00Z,2025-08-09T04:00:00Z,Medium,1.2984999999999858,8,0,100.0
2025-08-09T08:00:00Z,2025-08-09T08:00:00Z,Medium,1.2984999999999716,4,0,100.0
2025-08-09T12:00:00Z,2025-08-09T12:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-08-09T16:00:00Z,2025-08-10T16:00:00Z,Medium,3.116399999999966,28,1,240.0
2025-08-10T20:00:00Z,2025-08-11T00:00:00Z,Medium,1.2984999999999858,8,0,100.0
2025-08-11T04:00:00Z,2025-08-12T16:00:00Z,Medium,1.2984999999999858,40,0,100.0
2025-08-12T20:00:00Z,2025-08-12T20:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-08-13T00:00:00Z,2025-08-13T16:00:00Z,Medium,1.2984999999999858,20,0,100.0
2025-08-13T20:00:00Z,2025-08-14T04:00:00Z,Medium,1.2984999999999858,12,0,100.0
2025-08-14T08:00:00Z,2025-08-22T16:00:00Z,Medium,14.212861599999794,204,4,1094.5599999999997
2025-08-22T20:00:00Z,2025-08-22T20:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-08-23T00:00:00Z,2025-08-23T04:00:00Z,Medium,3.1163999999999943,8,1,240.0
2025-08-23T08:00:00Z,2025-08-23T12:00:00Z,Medium,1.2985,8,0,100.0
2025-08-23T16:00:00Z,2025-08-23T20:00:00Z,Medium,1.2985,8,0,100.0
2025-08-24T00:00:00Z,2025-08-24T00:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-08-24T04:00:00Z,2025-08-24T04:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-08-24T08:00:00Z,2025-08-26T20:00:00Z,Medium,5.6614599999999635,64,2,436.0
2025-08-27T00:00:00Z,2025-08-27T12:00:00Z,Medium,1.2985,16,0,100.0
2025-08-27T16:00:00Z,2025-08-30T04:00:00Z,Medium,5.6614599999999635,64,2,436.0
2025-08-30T08:00:00Z,2025-08-31T00:00:00Z,Medium,1.2984999999999858,20,0,100.0
2025-08-31T04:00:00Z,2025-09-03T16:00:00Z,Medium,3.1163999999999374,88,1,240.0
2025-09-03T20:00:00Z,2025-09-03T20:00:00Z,Medium,1.2984999999999858,4,0,100.0
2025-09-04T00:00:00Z,2025-09-04T12:00:00Z,Medium,3.116399999999966,16,1,240.0
2025-09-04T16:00:00Z,2025-09-04T16:00:00Z,Low,1.2984999999999858,4,0,100.0
2025-09-04T20:00:00Z,2025-09-04T20:00:00Z,Low,1.2984999999999858,4,0,100.0
2025-09-05T00:00:00Z,2025-09-05T00:00:00Z,Low,1.2984999999999858,4,0,100.0
2025-09-05T04:00:00Z,2025-09-05T04:00:00Z,Low,1.2985,4,0,100.0
2025-09-05T08:00:00Z,2025-09-05T08:00:00Z,Medium,1.2984999999999716,4,0,100.0
